# fk-constraints.txt - pg_constraint dump from mcc-production
# Generated 2026-07-16 via mcp__supabase__execute_sql
# Format: conname	source_table	definition

facebook_page_connections_connected_by_user_id_fkey	facebook_page_connections	FOREIGN KEY (connected_by_user_id) REFERENCES auth.users(id) ON DELETE SET NULL
fb_data_deletion_requests_user_id_fkey	fb_data_deletion_requests	FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE SET NULL
finder_fee_payments_evaluation_id_fkey	finder_fee_payments	FOREIGN KEY (evaluation_id) REFERENCES car_evaluations(id) ON DELETE CASCADE
finder_fee_payments_salesperson_id_fkey	finder_fee_payments	FOREIGN KEY (salesperson_id) REFERENCES profiles(id) ON DELETE CASCADE
fk_accepted_bid	maintenance_packages	FOREIGN KEY (accepted_bid_id) REFERENCES bids(id)
fleet_approvals_approved_by_fkey	fleet_approvals	FOREIGN KEY (approved_by) REFERENCES profiles(id)
fleet_approvals_fleet_id_fkey	fleet_approvals	FOREIGN KEY (fleet_id) REFERENCES fleets(id) ON DELETE CASCADE
fleet_approvals_package_id_fkey	fleet_approvals	FOREIGN KEY (package_id) REFERENCES maintenance_packages(id) ON DELETE CASCADE
fleet_approvals_requested_by_fkey	fleet_approvals	FOREIGN KEY (requested_by) REFERENCES profiles(id)
fleet_members_fleet_id_fkey	fleet_members	FOREIGN KEY (fleet_id) REFERENCES fleets(id) ON DELETE CASCADE
fleet_members_user_id_fkey	fleet_members	FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
fleet_vehicle_assignments_assigned_driver_id_fkey	fleet_vehicle_assignments	FOREIGN KEY (assigned_driver_id) REFERENCES auth.users(id)
fleet_vehicle_assignments_fleet_id_fkey	fleet_vehicle_assignments	FOREIGN KEY (fleet_id) REFERENCES fleets(id) ON DELETE CASCADE
fleet_vehicle_assignments_vehicle_id_fkey	fleet_vehicle_assignments	FOREIGN KEY (vehicle_id) REFERENCES vehicles(id) ON DELETE CASCADE
fleet_vehicles_assigned_driver_id_fkey	fleet_vehicles	FOREIGN KEY (assigned_driver_id) REFERENCES profiles(id)
fleet_vehicles_fleet_id_fkey	fleet_vehicles	FOREIGN KEY (fleet_id) REFERENCES fleets(id) ON DELETE CASCADE
fleet_vehicles_vehicle_id_fkey	fleet_vehicles	FOREIGN KEY (vehicle_id) REFERENCES vehicles(id) ON DELETE CASCADE
